x y yaw v w 
1.42037 2.94058 1.53546 0.9941 -0.42496
1.42205 2.97019 1.52213 0.96058 -0.43166
1.42376 3.00073 1.50825 1.01496 -0.46073
1.42662 3.04146 1.48912 0.92649 -0.43412
1.42871 3.07138 1.47418 0.98803 -0.49236
1.43104 3.10311 1.45803 1.06494 -0.54073
1.43459 3.14447 1.43317 0.98628 -0.59159
1.43754 3.17496 1.41244 1.02029 -0.69155
1.44133 3.20435 1.3907 0.9829 -0.72216
1.4471 3.24288 1.36107 0.96658 -0.73664
1.45325 3.27294 1.33856 1.02068 -0.74882
1.45983 3.303 1.31637 0.97564 -0.70411
1.47023 3.34234 1.28676 0.98173 -0.71475
1.48019 3.37072 1.26408 0.96375 -0.72696
1.49024 3.39878 1.24161 0.9958 -0.75061
1.50401 3.43721 1.21225 1.01515 -0.73052
1.51424 3.46708 1.19035 1.00466 -0.6976
1.52506 3.49696 1.16869 1.00578 -0.68635
1.53951 3.53664 1.13991 1.05179 -0.71949
1.5526 3.56416 1.11826 1.01632 -0.72182
1.56524 3.59093 1.09675 0.93008 -0.67611
1.58203 3.62652 1.06793 0.99765 -0.73194
1.59569 3.65307 1.0463 0.99274 -0.72043
1.61076 3.67967 1.02488 1.00553 -0.70481
1.63287 3.7145 0.99648 1.03449 -0.71216
1.6502 3.74009 0.97536 1.03391 -0.70659
1.6682 3.76404 0.95418 0.97898 -0.69232
1.69246 3.79536 0.92615 0.98989 -0.70035
1.71023 3.81929 0.90587 0.99026 -0.67392
1.72789 3.84374 0.88535 0.99951 -0.68126
1.75086 3.87666 0.85848 0.99594 -0.67028
1.7681 3.90135 0.83833 0.95025 -0.64077
1.7883 3.92507 0.81812 1.04403 -0.67814
1.81568 3.95465 0.79034 0.98259 -0.67742
1.83685 3.97519 0.7699 0.97098 -0.67309
1.85853 3.99471 0.74966 0.9493 -0.65859
1.88867 4.02181 0.72157 1.01338 -0.70242
1.91216 4.04126 0.70107 1.00933 -0.67841
1.93403 4.06009 0.68025 0.9365 -0.67569
1.96032 4.08245 0.65034 0.81465 -0.70702
1.97748 4.09606 0.62641 0.69528 -0.76036
1.99256 4.10879 0.60139 0.65837 -0.83897
2.01251 4.12546 0.5685 0.62731 -0.80025
2.0207 4.13213 0.54308 0.34378 -0.83554
2.02283 4.13434 0.51725 0.09899 -0.86781
2.02215 4.13567 0.48865 0.00058 -0.67561
2.02108 4.13611 0.47154 -0.02506 -0.57047
2.02051 4.13655 0.45797 -0.01077 -0.45409
