x y yaw v w 
0.02932 7e-05 0.00463 0.0 0.0
0.06352 0.00035 0.01215 1.10539 0.24278
0.09727 0.00093 0.02179 1.11465 0.31861
0.13092 0.00186 0.03337 0.84317 0.29003
0.1644 0.0032 0.04663 1.09743 0.43442
0.19771 0.005 0.06131 1.07834 0.47427
0.23085 0.00729 0.07716 0.80478 0.38415
0.26381 0.01012 0.09402 1.09443 0.55785
0.29659 0.01351 0.11174 1.10489 0.59399
0.3292 0.01747 0.13018 0.81749 0.45903
0.36159 0.02203 0.14926 1.08193 0.63089
0.39378 0.02719 0.16889 1.08819 0.65529
0.42576 0.03297 0.18901 0.80644 0.49929
0.45752 0.03939 0.20956 1.06692 0.67663
0.48906 0.04644 0.23049 1.03456 0.67002
0.52037 0.05414 0.25176 0.80426 0.53053
0.55144 0.06249 0.27332 1.0764 0.72163
0.58226 0.0715 0.29516 1.07227 0.7292
0.61283 0.08116 0.31723 0.79839 0.54977
0.64314 0.09149 0.33952 1.05246 0.73264
0.67317 0.10247 0.362 1.00544 0.70668
0.70292 0.11413 0.38464 0.78512 0.55656
0.73237 0.12644 0.40744 1.06075 0.75769
0.7615 0.13941 0.43037 0.93147 0.66986
0.79031 0.15304 0.45343 0.77328 0.55947
0.81843 0.16715 0.47659 1.01862 0.74997
0.84413 0.1808 0.4999 0.96772 0.77525
0.8687 0.1946 0.52339 0.68285 0.56921
0.892 0.20841 0.54708 0.85538 0.74819
0.91403 0.2222 0.57099 0.86292 0.79388
0.93452 0.23571 0.59515 0.60309 0.59379
0.95541 0.25023 0.61946 0.84929 0.81172
0.97661 0.26574 0.64389 0.87092 0.81004
0.99808 0.28227 0.66841 0.67323 0.60912
1.01978 0.29984 0.69299 0.93666 0.82441
1.04239 0.31909 0.71757 0.89657 0.7424
1.06509 0.3394 0.74213 0.73809 0.59531
1.08791 0.36085 0.76666 1.03571 0.8111
1.11037 0.38302 0.79114 1.0557 0.81901
1.13227 0.40572 0.81558 0.74753 0.5793
1.15362 0.42896 0.83999 1.00654 0.7786
1.1744 0.45272 0.86437 1.05209 0.81256
1.1946 0.47699 0.88872 0.78699 0.60696
1.21421 0.50174 0.91304 1.05365 0.81158
1.23322 0.52697 0.93734 1.05117 0.80874
1.25161 0.55266 0.96163 0.75766 0.58232
1.26937 0.57879 0.98589 1.06699 0.81929
1.2865 0.60535 1.01013 1.04288 0.80011
1.30298 0.63232 1.03436 0.70947 0.5439
1.31881 0.65969 1.05858 1.0675 0.81781
1.33397 0.68743 1.08278 1.05377 0.80679
1.34846 0.71554 1.10697 0.747 0.57161
1.36226 0.74399 1.13116 1.06115 0.81158
1.37537 0.77276 1.15533 1.01134 0.77314
1.38779 0.80185 1.1795 0.75942 0.58032
1.3995 0.83123 1.20365 1.02845 0.78561
1.41049 0.86089 1.22781 1.02541 0.78303
1.42077 0.8908 1.25195 0.77792 0.59386
1.43032 0.92096 1.27609 1.04978 0.80118
1.43914 0.95134 1.30023 0.97312 0.7425
1.44723 0.98193 1.32436 0.79114 0.60351
1.45458 1.0127 1.34849 1.01867 0.77692
1.46118 1.04364 1.37261 1.01833 0.77653
1.46704 1.07473 1.39673 0.79327 0.60482
1.47214 1.10596 1.42085 1.05045 0.80078
1.47649 1.1373 1.44496 1.05686 0.80556
1.48008 1.16873 1.46908 0.77899 0.59369
1.48291 1.20025 1.49319 0.94193 0.7178
1.48499 1.23182 1.5173 0.97902 0.74599
1.4863 1.26344 1.5414 0.76842 0.58547
1.48685 1.29508 1.56551 1.04959 0.79964
1.48664 1.32634 1.58946 1.04628 0.80161
1.4857 1.35722 1.6132 0.77089 0.59235
1.48403 1.38788 1.63661 0.92932 0.7087
1.48166 1.4185 1.65954 1.00915 0.75354
1.47859 1.44913 1.68185 0.76267 0.55263
1.47484 1.47978 1.70338 1.02881 0.7174
1.47043 1.51044 1.72399 1.00535 0.6691
1.46538 1.54113 1.74356 0.76819 0.48334
1.45973 1.57186 1.76195 1.04838 0.61711
1.45363 1.60201 1.77874 0.9872 0.53879
1.44722 1.6313 1.79375 0.7416 0.37123
1.44057 1.65976 1.80682 0.94452 0.42253
1.43377 1.68739 1.81784 0.92303 0.35738
1.42688 1.71418 1.82672 0.69249 0.22233
1.42001 1.74009 1.83341 0.84462 0.21088
1.41324 1.76506 1.83791 0.75989 0.13209
1.40664 1.78906 1.84022 0.61204 0.05667
1.40028 1.81209 1.84035 0.78693 0.0044
1.39454 1.83296 1.83776 0.70595 -0.08441
1.38875 1.85435 1.83306 0.54507 -0.11568
1.38287 1.87654 1.82677 0.75029 -0.20558
1.37694 1.89954 1.81929 0.80403 -0.25329
1.371 1.92336 1.81089 0.60484 -0.20687
1.36508 1.94803 1.80179 0.83223 -0.29833
1.3592 1.97358 1.79215 0.8346 -0.30696
1.35339 2.0 1.78209 0.65405 -0.24338
1.34768 2.02731 1.77168 0.92813 -0.34612
1.34194 2.05632 1.76099 0.9829 -0.35551
1.33634 2.08626 1.75008 0.74826 -0.26801
1.33093 2.11712 1.73899 1.04411 -0.36947
1.32572 2.14889 1.72776 1.07 -0.37318
1.32077 2.18131 1.71642 0.81297 -0.28112
1.3162 2.21379 1.705 0.98856 -0.34429
1.312 2.24631 1.6935 1.09266 -0.38316
1.30817 2.27887 1.68193 0.81805 -0.28867
1.30473 2.31146 1.6703 1.07047 -0.37995
1.30166 2.34408 1.6586 1.09585 -0.39117
1.29898 2.37674 1.64685 0.7637 -0.27407
1.29669 2.40941 1.63503 1.08593 -0.39167
1.29478 2.4421 1.62317 1.05443 -0.38209
1.29326 2.47481 1.61125 0.81512 -0.29668
1.29213 2.50753 1.59928 1.09905 -0.40171
1.2914 2.54025 1.58727 1.04709 -0.38426
1.29105 2.57297 1.57522 0.81828 -0.30144
1.29111 2.6057 1.56312 1.09003 -0.40304
1.29156 2.63841 1.55097 1.03664 -0.38477
1.29241 2.67112 1.53878 0.81693 -0.30436
1.29365 2.70381 1.52655 1.08582 -0.40601
1.2953 2.73647 1.51428 1.04545 -0.39231
1.29736 2.76919 1.50183 0.8116 -0.30807
1.29983 2.80195 1.48912 1.09691 -0.42468
1.30273 2.83473 1.47604 1.09269 -0.4342
1.30607 2.86752 1.46254 0.822 -0.33672
1.30986 2.9003 1.44857 1.10272 -0.46695
1.31415 2.93319 1.43399 1.10052 -0.48382
1.31893 2.96607 1.41876 0.82522 -0.3782
1.32421 2.99881 1.4028 1.07427 -0.51681
1.33002 3.03137 1.38603 1.09736 -0.55645
1.33636 3.06373 1.36839 0.74824 -0.40039
1.34326 3.09585 1.35001 1.08274 -0.60566
1.35073 3.12772 1.33099 1.09625 -0.63713
1.35879 3.15932 1.31141 0.77576 -0.46583
1.36744 3.19065 1.29133 1.08487 -0.67002
1.3767 3.22171 1.27082 1.07645 -0.68123
1.38657 3.25249 1.24993 0.80354 -0.51943
1.39707 3.28299 1.22869 1.07292 -0.70659
1.40819 3.31318 1.20715 1.02096 -0.68348
1.41994 3.34307 1.18534 0.77505 -0.52641
1.43232 3.37265 1.16329 1.02778 -0.70696
1.44534 3.4019 1.14102 1.06978 -0.74397
1.45899 3.43083 1.11856 0.79556 -0.55868
1.47327 3.45941 1.09593 1.01777 -0.72093
1.48819 3.48763 1.07314 1.01171 -0.72217
1.50374 3.51548 1.05022 0.79702 -0.57283
1.51991 3.54294 1.02718 1.06282 -0.76855
1.53669 3.57 1.00403 1.00087 -0.72771
1.55409 3.59665 0.98078 0.80833 -0.59059
1.5721 3.62287 0.95743 1.05913 -0.77723
1.5907 3.64866 0.93401 1.04598 -0.77059
1.60989 3.67398 0.91052 0.79679 -0.58908
1.62967 3.69884 0.88696 1.06272 -0.78818
1.65002 3.72321 0.86335 1.03782 -0.7719
1.67093 3.74709 0.83968 0.79301 -0.59133
1.6924 3.77046 0.81597 1.05486 -0.7884
1.71441 3.79331 0.79221 1.05314 -0.78874
1.73695 3.81562 0.76841 0.79087 -0.59342
1.76001 3.83739 0.74458 1.00828 -0.75783
1.78358 3.85859 0.72072 1.06358 -0.80057
1.80764 3.87922 0.69683 0.77302 -0.58262
1.83218 3.89927 0.67292 1.04332 -0.78723
1.8572 3.91872 0.64899 1.03093 -0.77866
1.88143 3.93665 0.62501 0.75357 -0.5997
1.90466 3.95299 0.60093 0.94007 -0.79697
1.92684 3.9678 0.57669 0.86594 -0.78677
1.94789 3.98113 0.55226 0.58876 -0.5776
1.96776 3.99304 0.52761 0.73585 -0.7831
1.98608 4.00342 0.50299 0.70619 -0.82554
2.00287 4.01239 0.47881 0.46318 -0.58842
2.00784 4.01491 0.4603 0.18293 -0.60825
2.00933 4.01564 0.44669 0.05574 -0.45728
2.00977 4.01585 0.43683 0.01165 -0.2329
2.00991 4.01591 0.42974 0.00487 -0.23649
2.00995 4.01593 0.42465 0.00145 -0.17016
