x y yaw v w 
-0.45463 3.08538 1.68657 1.0 -1.0
-0.45846 3.1252 1.64657 1.0 -1.0
-0.46028 3.15514 1.61657 1.0 -1.0
-0.4612 3.18513 1.58657 1.0 -1.0
-0.46103 3.22512 1.54657 1.0 -1.0
-0.45986 3.2551 1.51657 1.0 -1.0
-0.45778 3.28503 1.48657 1.0 -1.0
-0.45362 3.32481 1.44657 1.0 -1.0
-0.44946 3.35452 1.41657 1.0 -1.0
-0.44441 3.38409 1.38657 1.0 -1.0
-0.43629 3.42325 1.34657 1.0 -1.0
-0.42919 3.4524 1.31657 1.0 -1.0
-0.42121 3.48131 1.28657 1.0 -1.0
-0.40922 3.51948 1.24657 1.0 -1.0
-0.39924 3.54776 1.21657 1.0 -1.0
-0.38842 3.57574 1.18657 1.0 -1.0
-0.37268 3.61252 1.14657 1.0 -1.0
-0.35993 3.63967 1.11657 1.0 -1.0
-0.34636 3.66642 1.08657 1.0 -1.0
-0.32704 3.70144 1.04657 1.0 -1.0
-0.31163 3.72719 1.01657 1.0 -1.0
-0.29547 3.75245 0.98657 1.0 -1.0
-0.27274 3.78537 0.94657 1.0 -1.0
-0.25485 3.80944 0.91657 1.0 -1.0
-0.23623 3.83297 0.88657 1.0 -1.0
-0.21034 3.86346 0.84657 1.0 -1.0
-0.19013 3.88562 0.81657 1.0 -1.0
-0.16926 3.90718 0.78657 1.0 -1.0
-0.14045 3.93492 0.74657 1.0 -1.0
-0.11813 3.95496 0.71657 1.0 -1.0
-0.09521 3.97432 0.68657 1.0 -1.0
-0.06451 3.99849 0.64657 0.95366 -1.0
-0.04243 4.01465 0.61657 0.89126 -1.0
-0.02193 4.02872 0.58657 0.82886 -1.0
0.00393 4.04517 0.54657 0.70405 -1.0
0.02106 4.05526 0.51761 0.64165 -0.94809
0.03792 4.06454 0.48916 0.57925 -0.89549
0.04819 4.0699 0.47125 0.0 0.0
0.04819 4.0699 0.47125 0.0 0.0
0.04819 4.0699 0.47125 0.0 0.0
0.04819 4.0699 0.47125 0.0 0.0
0.04819 4.0699 0.47125 0.0 0.0
0.04819 4.0699 0.47125 0.0 0.0
