x y yaw v w 
-0.49591 3.0791 1.70814 1.0 -1.0
-0.49958 3.10888 1.67814 1.0 -1.0
-0.50306 3.14872 1.63814 1.0 -1.0
-0.50463 3.17868 1.60814 1.0 -1.0
-0.5053 3.20867 1.57814 1.0 -1.0
-0.5048 3.24867 1.53814 1.0 -1.0
-0.50337 3.27863 1.50814 1.0 -1.0
-0.50104 3.30854 1.47814 1.0 -1.0
-0.49655 3.34828 1.43814 1.0 -1.0
-0.49213 3.37796 1.40814 1.0 -1.0
-0.48683 3.40748 1.37814 1.0 -1.0
-0.47839 3.44658 1.33814 1.0 -1.0
-0.47104 3.47566 1.30814 1.0 -1.0
-0.46281 3.50451 1.27814 1.0 -1.0
-0.45051 3.54257 1.23814 1.0 -1.0
-0.44029 3.57078 1.20814 1.0 -1.0
-0.42923 3.59866 1.17814 1.0 -1.0
-0.41319 3.6353 1.13814 1.0 -1.0
-0.4002 3.66234 1.10814 1.0 -1.0
-0.38641 3.68898 1.07814 1.0 -1.0
-0.36679 3.72384 1.03814 1.0 -1.0
-0.35117 3.74945 1.00814 1.0 -1.0
-0.33479 3.77458 0.97814 1.0 -1.0
-0.31179 3.80731 0.93814 1.0 -1.0
-0.29369 3.83123 0.90814 1.0 -1.0
-0.27489 3.8546 0.87814 1.0 -1.0
-0.24873 3.88486 0.83814 1.0 -1.0
-0.22834 3.90686 0.80814 1.0 -1.0
-0.20729 3.92824 0.77814 1.0 -1.0
-0.17825 3.95574 0.73814 1.0 -1.0
-0.15576 3.97559 0.70814 1.0 -1.0
-0.13304 3.99447 0.67814 0.95366 -1.0
-0.10386 4.01704 0.63814 0.89126 -1.0
-0.08316 4.03192 0.60814 0.82886 -1.0
-0.0641 4.04478 0.57814 0.70405 -1.0
-0.04021 4.05969 0.53814 0.64165 -0.94809
-0.02354 4.06932 0.5097 0.57925 -0.89549
-0.00826 4.07759 0.48284 0.0 0.0
-0.00826 4.07759 0.48284 0.0 0.0
-0.00826 4.07759 0.48284 0.0 0.0
-0.00826 4.07759 0.48284 0.0 0.0
-0.00826 4.07759 0.48284 0.0 0.0
-0.00826 4.07759 0.48284 0.0 0.0
