t 
0.02921
0.0593
0.08989
0.13099
0.16079
0.19287
0.23413
0.26405
0.29438
0.3346
0.36451
0.39534
0.43551
0.46542
0.49655
0.53863
0.56868
0.60166
0.64184
0.67236
0.704
0.74623
0.77627
0.80707
0.84754
0.87753
0.90796
0.94823
0.97817
1.00822
1.0502
1.08029
1.11088
1.15203
1.18204
1.21338
1.25366
1.28444
1.31439
1.35449
1.38458
1.41471
1.4553
1.48524
1.51577
1.55568
1.58602
1.61622
1.65764
1.68842
1.71836
1.75912
1.78906
1.81948
1.85955
1.88946
1.92
1.96047
1.99099
2.0221
2.06244
2.09298
2.12255
2.1627
2.19281
2.22305
2.26268
2.29267
2.32331
2.36384
2.39394
2.42391
2.4643
2.49452
2.5246
2.56553
2.59552
2.62555
2.66561
2.69721
2.72715
2.76912
2.79887
2.82889
2.86972
2.89956
2.92977
2.96977
3.00059
3.03067
3.07206
3.10201
3.13289
3.17308
3.20408
3.23438
3.27443
3.30519
3.33688
3.37697
3.40699
3.43774
3.47771
3.50893
3.53944
3.57964
3.61091
3.64172
3.68191
3.71229
3.74227
3.7831
3.81321
3.8432
3.88403
3.91488
3.94542
3.98505
4.01611
4.04658
4.08641
4.11683
4.14673
4.18665
4.21695
4.24673
4.28686
4.31776
4.34785
4.38795
4.41802
4.44894
4.48898
4.51945
4.55037
4.59045
4.6205
4.65065
4.69052
4.72191
4.75258
4.79252
4.82307
4.85309
4.89357
4.92331
4.95354
4.99501
5.02585
5.05604
5.09612
5.12603
5.15621
5.19728
5.22773
5.25785
5.29778
5.328
5.35797
5.39849
5.42855
5.45975
5.49982
5.53013
5.56035
5.60039
5.63095
5.66163
5.70248
5.7327
5.76341
5.80362
5.83369
5.86378
