x y yaw v w 
1.31893 2.96607 1.41876 0.82799 -0.37947
1.32421 2.99881 1.4028 1.07341 -0.51639
1.33002 3.03137 1.38603 1.09896 -0.55726
1.33636 3.06373 1.36839 0.82213 -0.43993
1.34326 3.09585 1.35001 1.09297 -0.61138
1.35073 3.12772 1.33099 1.05829 -0.61506
1.35879 3.15932 1.31141 0.8144 -0.48903
1.36744 3.19065 1.29133 1.06697 -0.65896
1.3767 3.22171 1.27082 1.04795 -0.66319
1.38657 3.25249 1.24993 0.80662 -0.52143
1.39707 3.28299 1.22869 1.07314 -0.70674
1.40819 3.31318 1.20715 1.06708 -0.71435
1.41994 3.34307 1.18534 0.80553 -0.54711
1.43232 3.37265 1.16329 1.0212 -0.70243
1.44534 3.4019 1.14102 1.04401 -0.72605
1.45899 3.43083 1.11856 0.80074 -0.56232
1.47327 3.45941 1.09593 1.04592 -0.74088
1.48819 3.48763 1.07314 1.06327 -0.75898
1.50374 3.51548 1.05022 0.78786 -0.56625
1.51991 3.54294 1.02718 1.0714 -0.77475
1.53669 3.57 1.00403 1.05334 -0.76586
1.55409 3.59665 0.98078 0.76736 -0.56066
1.5721 3.62287 0.95743 1.03149 -0.75694
1.5907 3.64866 0.93401 1.05305 -0.7758
1.60989 3.67398 0.91052 0.79276 -0.5861
1.62967 3.69884 0.88696 1.06202 -0.78765
1.65002 3.72321 0.86335 1.05191 -0.78238
1.67093 3.74709 0.83968 0.77296 -0.57638
1.6924 3.77046 0.81597 1.04209 -0.77885
1.71441 3.79331 0.79221 1.05293 -0.78859
1.73695 3.81562 0.76841 0.79435 -0.59604
1.76001 3.83739 0.74458 1.04906 -0.78847
1.78358 3.85859 0.72072 1.05779 -0.79621
1.80764 3.87922 0.69683 0.7821 -0.58946
1.83218 3.89927 0.67292 1.05429 -0.79551
1.8572 3.91872 0.64899 1.01565 -0.76712
1.88143 3.93665 0.62501 0.75204 -0.59848
1.90466 3.95299 0.60093 0.93712 -0.79447
1.92684 3.9678 0.57669 0.88264 -0.80194
1.94789 3.98113 0.55226 0.62199 -0.6102
1.96776 3.99304 0.52761 0.75783 -0.8065
1.98608 4.00342 0.50299 0.68664 -0.80269
2.00287 4.01239 0.47881 0.46596 -0.59195
2.00784 4.01491 0.4603 0.1842 -0.61247
2.00933 4.01564 0.44669 0.05403 -0.44325
2.00977 4.01585 0.43683 0.01226 -0.24515
2.00991 4.01591 0.42974 0.00486 -0.23592
2.00995 4.01593 0.42465 0.00144 -0.1689
