x y yaw v w 
1.27379 2.90928 1.56587 0.96428 -0.42167
1.27363 2.93832 1.55365 0.93974 -0.39561
1.27323 2.96662 1.54108 0.93959 -0.41768
1.27396 3.0061 1.52398 0.98431 -0.42629
1.27522 3.03709 1.5105 1.03156 -0.44861
1.2769 3.0685 1.49678 1.01694 -0.44351
1.28031 3.11122 1.47837 1.07018 -0.45988
1.28391 3.14347 1.46475 1.06492 -0.44705
1.28794 3.17585 1.45183 1.05508 -0.41775
1.29276 3.215 1.43196 0.98439 -0.49586
1.29633 3.24353 1.4164 0.95642 -0.51772
1.29991 3.2719 1.4007 0.94737 -0.52058
1.30605 3.30978 1.38137 0.96192 -0.48501
1.31033 3.33884 1.36712 0.93415 -0.45394
1.31598 3.36951 1.35208 1.01617 -0.49019
1.32517 3.41073 1.3321 1.05719 -0.50035
1.33287 3.44159 1.31717 1.04114 -0.48866
1.34131 3.47133 1.30142 1.03005 -0.52476
1.35345 3.50886 1.27962 0.97411 -0.53839
1.36201 3.53703 1.26369 0.98994 -0.53581
1.37037 3.5652 1.24797 0.97132 -0.51982
1.38184 3.60423 1.22673 0.97928 -0.51228
1.39026 3.6332 1.21109 0.97542 -0.50706
1.39832 3.66139 1.19606 0.96662 -0.49782
1.41124 3.69791 1.17665 0.96507 -0.48431
1.42259 3.72426 1.16308 0.95939 -0.4537
1.43466 3.75024 1.14975 0.94875 -0.44159
1.45107 3.78503 1.1312 0.93676 -0.45181
1.46396 3.81258 1.11591 0.99899 -0.50217
1.47788 3.84108 1.09988 1.05259 -0.53192
1.49695 3.87944 1.07839 1.0724 -0.53837
1.51151 3.90841 1.06215 1.0718 -0.53732
1.52603 3.93731 1.04602 1.07743 -0.5381
1.5468 3.97464 1.02427 1.05337 -0.53694
1.5627 4.00086 1.00715 1.02005 -0.56938
1.5783 4.02612 0.9891 0.95141 -0.57852
1.59868 4.05861 0.96386 0.95589 -0.6299
1.61517 4.0806 0.94511 0.90665 -0.61876
1.63083 4.10126 0.92588 0.85802 -0.63636
1.65151 4.12728 0.89976 0.82999 -0.65226
1.66642 4.1456 0.88014 0.773 -0.64186
1.68043 4.16202 0.86205 0.70359 -0.59
1.6976 4.18291 0.83984 0.6613 -0.54357
1.70532 4.19352 0.82792 0.43137 -0.39443
1.70736 4.19663 0.82178 0.11935 -0.19981
1.70837 4.19758 0.8149 0.0345 -0.17108
1.70891 4.19828 0.80945 0.02926 -0.18146
1.70925 4.19905 0.80363 0.02627 -0.19327
