x y yaw v w 
0.0 0.0 0.0 1.0 0.87879
0.03 0.0004 0.02704 1.0 0.91242
0.05997 0.00162 0.05441 1.0 0.94606
0.09986 0.00456 0.09292 1.0 0.9797
0.12969 0.00779 0.12272 1.0 1.0
0.1594 0.01191 0.15272 1.0 1.0
0.1988 0.01878 0.19272 1.0 1.0
0.22816 0.02497 0.22272 1.0 1.0
0.25731 0.03203 0.25272 1.0 1.0
0.29583 0.0428 0.29272 1.0 1.0
0.32442 0.05189 0.32272 1.0 1.0
0.35272 0.06183 0.35272 1.0 1.0
0.38998 0.07639 0.39272 1.0 1.0
0.41752 0.08829 0.42272 1.0 1.0
0.44469 0.10101 0.45272 1.0 1.0
0.4803 0.11922 0.49272 1.0 1.0
0.50651 0.1338 0.52272 1.0 1.0
0.53228 0.14917 0.55272 1.0 1.0
0.56589 0.17084 0.59272 1.0 1.0
0.59052 0.18797 0.62272 1.0 1.0
0.61462 0.20583 0.65272 1.0 1.0
0.64591 0.23075 0.69272 1.0 1.0
0.6687 0.25026 0.72272 1.0 1.0
0.6909 0.27043 0.75272 1.0 1.0
0.71954 0.29836 0.79272 1.0 1.0
0.74003 0.31978 0.82272 0.98822 1.0
0.75911 0.34098 0.85272 0.95081 1.0
0.7826 0.36897 0.89272 0.87598 1.0
0.79831 0.38908 0.92272 0.83856 1.0
0.81298 0.40906 0.95272 0.80115 1.0
0.83047 0.43471 0.99272 0.75126 1.0
0.84281 0.45428 1.02272 0.7811 1.0
0.85487 0.47472 1.05272 0.81095 1.0
0.87064 0.50374 1.09272 0.84079 1.0
0.88218 0.52684 1.12272 0.87064 1.0
0.89351 0.55136 1.15272 0.90048 1.0
0.90816 0.58621 1.19272 0.96017 1.0
0.9186 0.6137 1.22272 0.99001 1.0
0.92834 0.64186 1.25272 1.0 1.0
0.94009 0.68009 1.29272 1.0 1.0
0.94789 0.70906 1.32272 1.0 1.0
0.95482 0.73825 1.35272 1.0 1.0
0.96269 0.77746 1.39272 1.0 1.0
0.96756 0.80706 1.42272 1.0 1.0
0.97154 0.8368 1.45272 1.0 1.0
0.97546 0.8766 1.49272 1.0 1.0
0.97735 0.90654 1.52272 1.0 1.0
0.97834 0.93652 1.55272 1.0 1.0
0.97826 0.97652 1.59272 1.0 1.0
0.97716 1.0065 1.62272 1.0 1.0
0.97515 1.03643 1.65272 1.0 1.0
0.97108 1.07622 1.69272 1.0 1.0
0.96699 1.10594 1.72272 1.0 1.0
0.962 1.13552 1.75272 1.0 1.0
0.95398 1.17471 1.79272 1.0 1.0
0.94694 1.20387 1.82272 1.0 1.0
0.93903 1.2328 1.85272 1.0 1.0
0.92713 1.27099 1.89272 1.0 1.0
0.91722 1.2993 1.92272 1.0 1.0
0.90645 1.3273 1.95272 1.0 1.0
0.89081 1.36411 1.99272 1.0 1.0
0.87811 1.3913 2.02272 1.0 1.0
0.86461 1.41808 2.05272 1.0 1.0
0.84537 1.45315 2.09272 1.0 1.0
0.83002 1.47892 2.12272 1.0 1.0
0.81391 1.50423 2.15272 1.0 1.0
0.79126 1.5372 2.19272 1.0 1.0
0.77342 1.56132 2.22272 1.0 1.0
