t 
0.0035
0.03393
0.06351
0.10438
0.13437
0.16462
0.20492
0.23472
0.265
0.3063
0.33649
0.36629
0.40792
0.43845
0.46863
0.51014
0.54012
0.57095
0.61099
0.64184
0.67206
0.71286
0.74466
0.77446
0.81674
0.84673
0.87667
0.91674
0.9468
0.97781
1.01877
1.04876
1.07955
1.1195
1.14939
1.17964
1.21963
1.24949
1.27966
1.31965
1.34969
1.38023
1.42251
1.45524
1.48664
1.52649
1.55646
1.58823
1.62905
1.66043
1.69069
1.73044
1.76126
1.7923
1.83241
1.86301
1.89468
1.93463
1.96581
1.99576
2.03631
2.06624
2.09637
2.13655
2.16657
2.19669
2.23722
2.26785
2.29819
2.33884
2.36879
2.39939
2.43904
2.46894
2.50081
2.54236
2.57276
2.60369
2.64565
2.67586
2.70614
2.74778
2.77795
2.80922
2.84915
2.87988
2.91085
2.95176
2.98379
3.01403
3.05723
3.0874
3.11706
3.15819
3.18814
3.21952
3.26049
3.29065
3.32076
3.36072
3.3908
3.42159
3.46198
3.49203
3.52263
3.56247
3.59263
3.62303
3.66373
3.69369
3.72419
3.76532
3.79596
3.82694
3.86741
3.89734
3.92841
3.96824
3.99894
4.02992
4.07095
4.10073
4.13205
4.17291
4.20361
4.23389
4.2741
4.30436
4.33514
4.37577
4.40674
4.44058
4.48055
4.5106
4.54047
4.58169
4.61294
4.64298
4.68403
4.71399
4.74412
4.7851
4.81505
4.845
4.88604
4.91625
4.94825
4.98887
5.01894
5.0504
5.09047
5.12279
5.15382
5.19404
5.22384
5.25488
5.29505
5.32633
5.35755
5.39922
5.42978
5.46086
5.50195
5.53339
5.56327
5.60331
5.6338
5.66447
5.70691
5.73671
5.76689
5.80723
5.8371
5.86853
