x y yaw v w 
0.00016 8e-05 0.00343 0.0 0.0
0.01026 -0.00013 0.00046 0.33203 -0.0978
0.02589 -0.00036 0.00075 0.528 0.00971
0.05867 -2e-05 0.00422 0.80219 0.08514
0.0861 0.00043 0.00718 0.91475 0.09862
0.11435 0.00085 0.01223 0.93383 0.167
0.15635 0.00165 0.02181 1.04251 0.2377
0.18795 0.00267 0.0303 1.0609 0.28465
0.21866 0.00405 0.03998 1.01556 0.32001
0.26013 0.00662 0.05653 1.00601 0.40055
0.29246 0.00858 0.07014 1.07236 0.4509
0.32384 0.01026 0.08487 1.05424 0.49419
0.36418 0.01275 0.10614 0.97002 0.511
0.39524 0.01503 0.12327 1.01863 0.56093
0.42706 0.01789 0.14101 1.05708 0.58789
0.46826 0.02274 0.16597 0.99818 0.60132
0.4985 0.02724 0.18536 1.0191 0.6466
0.52797 0.03289 0.20511 0.97342 0.641
0.56574 0.04183 0.23161 0.9693 0.66165
0.59502 0.04887 0.25224 0.9759 0.66871
0.62453 0.05616 0.27289 1.00534 0.6834
0.6646 0.06546 0.30093 1.00564 0.68739
0.69358 0.0745 0.32108 0.95432 0.63323
0.72222 0.08397 0.34106 1.01207 0.67063
0.75961 0.09722 0.36712 0.93792 0.61648
0.78743 0.10699 0.38684 0.98199 0.65737
0.81508 0.11692 0.40669 0.97952 0.66329
0.85105 0.13126 0.43415 0.96495 0.68517
0.87727 0.14327 0.45326 0.95899 0.63561
0.90196 0.15538 0.47065 0.88669 0.56087
0.93368 0.17171 0.49248 0.87103 0.53293
0.95504 0.18348 0.50726 0.81313 0.4927
0.97503 0.19469 0.52277 0.74414 0.50378
1.00182 0.21053 0.54401 0.77916 0.53188
1.02373 0.22393 0.56158 0.8591 0.5876
1.04547 0.23835 0.58003 0.86228 0.60995
1.07435 0.2585 0.60421 0.88062 0.60453
1.09676 0.27458 0.62245 0.92374 0.61099
1.12075 0.291 0.64043 0.96271 0.59584
1.15385 0.31416 0.66626 1.00871 0.64594
1.17766 0.33244 0.68652 0.99855 0.67462
1.20068 0.3522 0.70707 0.99332 0.67273
1.2315 0.38042 0.73488 0.98858 0.65791
1.25353 0.40184 0.75577 0.9387 0.63827
1.27507 0.42257 0.77679 0.95197 0.6694
1.30465 0.4503 0.80527 1.01613 0.71472
1.32688 0.47165 0.82751 1.02634 0.74198
1.34764 0.49398 0.84991 0.95907 0.70485
1.37535 0.52522 0.87952 1.02254 0.72542
1.39468 0.54814 0.90166 0.95502 0.70563
1.41344 0.57125 0.9237 0.98325 0.72852
1.43553 0.60383 0.95193 0.98996 0.71022
1.45218 0.62924 0.97393 0.98553 0.7138
1.46847 0.65521 0.99701 0.98739 0.74323
1.49095 0.69088 1.02784 1.05097 0.76877
1.50795 0.7176 1.04958 1.03403 0.71061
1.52406 0.74373 1.0722 0.96755 0.71394
1.54453 0.77774 1.10345 0.99092 0.78236
1.55946 0.80363 1.12714 0.95556 0.75961
1.5741 0.83073 1.15063 1.02559 0.7847
1.59075 0.86862 1.1812 1.02034 0.75367
1.60111 0.89712 1.20444 1.01293 0.77638
1.61069 0.9254 1.22791 0.991 0.77915
1.62323 0.96394 1.25963 1.00868 0.78938
1.63348 0.99285 1.28445 1.0202 0.82668
1.6436 1.02223 1.30961 1.02913 0.83543
1.65567 1.06068 1.34438 0.99138 0.85784
1.66459 1.08904 1.37054 0.96521 0.85394
1.67011 1.11911 1.39608 1.00798 0.84223
1.6765 1.15982 1.4301 1.01355 0.83672
1.68096 1.18976 1.45538 1.00984 0.84401
1.68525 1.21944 1.48051 0.97875 0.82123
1.69116 1.26009 1.51447 1.03215 0.85669
1.69358 1.2899 1.53888 0.9991 0.81623
1.69608 1.31972 1.56331 0.93583 0.7664
1.69882 1.35834 1.59512 0.92764 0.76573
1.69966 1.38763 1.6182 0.9614 0.75929
1.69716 1.4177 1.64104 0.97519 0.7385
1.69457 1.45795 1.66929 0.9608 0.67305
1.69197 1.4885 1.68958 1.01413 0.67182
1.6894 1.51898 1.70843 1.00885 0.62256
1.68477 1.55876 1.73288 0.96067 0.58708
1.68053 1.58804 1.75001 0.98004 0.56786
1.67555 1.61692 1.7668 0.93708 0.53689
1.66881 1.65275 1.78583 0.91248 0.47664
1.66326 1.67733 1.79743 0.82014 0.37751
1.6576 1.70136 1.80865 0.79728 0.36228
1.64983 1.73166 1.81952 0.76462 0.26566
1.64429 1.75341 1.82583 0.70072 0.1971
1.63886 1.77409 1.82939 0.70704 0.11763
1.6319 1.79999 1.83083 0.62059 0.03325
1.62672 1.81951 1.82866 0.66966 -0.07179
1.62151 1.83898 1.82589 0.67946 -0.09335
1.61379 1.86767 1.82057 0.7224 -0.1294
1.60836 1.88945 1.81502 0.74942 -0.18542
1.60285 1.91157 1.80837 0.72655 -0.21182
1.59558 1.94181 1.79897 0.75893 -0.2295
1.58985 1.96651 1.79091 0.84046 -0.26709
1.58416 1.99134 1.78296 0.846 -0.26404
1.57754 2.02477 1.77309 0.85293 -0.24706
1.57286 2.05127 1.76679 0.89452 -0.20936
1.56812 2.07809 1.76074 0.88411 -0.19666
1.56105 2.11538 1.75378 0.93981 -0.17232
1.5554 2.14459 1.74817 0.98992 -0.18654
1.54995 2.17427 1.74277 0.98612 -0.17643
1.54252 2.21436 1.73504 1.02312 -0.19401
1.5372 2.24485 1.72844 1.0264 -0.21882
1.53281 2.27441 1.72073 0.98298 -0.25374
1.5274 2.31366 1.71035 0.97367 -0.25494
1.52332 2.34309 1.70299 0.9915 -0.24564
1.51916 2.37228 1.69558 0.96676 -0.2432
1.51386 2.41216 1.68566 0.97764 -0.24095
1.50984 2.44281 1.67798 1.00886 -0.25084
1.50629 2.4739 1.67022 1.00993 -0.25061
1.50236 2.5159 1.66 1.04246 -0.25244
1.49977 2.54739 1.65275 1.0555 -0.24218
1.49731 2.57802 1.64498 0.9892 -0.2503
1.49467 2.61811 1.63411 1.00882 -0.27285
1.49274 2.64746 1.62567 0.95761 -0.2747
1.49103 2.67691 1.61735 0.9525 -0.26881
1.48932 2.71643 1.6067 0.96384 -0.25945
1.48788 2.74695 1.59804 1.02608 -0.29075
1.48684 2.77832 1.58906 1.00214 -0.28695
1.48591 2.82059 1.57734 1.03464 -0.28686
1.48546 2.85238 1.56887 1.0352 -0.2756
1.48537 2.88329 1.55943 1.02067 -0.31201
1.48565 2.92236 1.54458 0.97135 -0.3692
1.48597 2.95121 1.53305 0.95333 -0.38099
